,sent_ind,cve_sent_ind,token,pos,tag,dep,label,pred_y
0,CVE-2002-0591,0,Directory,NOUN,NN,compound,O,O
1,CVE-2002-0591,0,traversal,NOUN,NN,compound,O,O
2,CVE-2002-0591,0,vulnerability,NOUN,NN,ROOT,O,O
3,CVE-2002-0591,0,in,ADP,IN,prep,O,O
4,CVE-2002-0591,0,AOL,PROPN,NNP,compound,O,O
5,CVE-2002-0591,0,Instant,PROPN,NNP,compound,pn,pn
6,CVE-2002-0591,0,Messenger,PROPN,NNP,pobj,pn,pn
7,CVE-2002-0591,0,(,PUNCT,-LRB-,punct,O,O
8,CVE-2002-0591,0,AIM,PROPN,NNP,parataxis,pn,pn
9,CVE-2002-0591,0,),PUNCT,-RRB-,punct,O,O
10,CVE-2002-0591,1,4.8,NUM,CD,nummod,vre,vre
11,CVE-2002-0591,1,beta,NOUN,NN,ROOT,update,update
12,CVE-2002-0591,1,and,CCONJ,CC,cc,=,=
13,CVE-2002-0591,1,earlier,ADJ,JJR,advmod,<,<
14,CVE-2002-0591,1,allows,VERB,VBZ,conj,verb,verb
15,CVE-2002-0591,1,remote,ADJ,JJ,amod,O,O
16,CVE-2002-0591,1,attackers,NOUN,NNS,nsubj,O,O
17,CVE-2002-0591,1,to,PART,TO,aux,O,O
18,CVE-2002-0591,1,create,VERB,VB,ccomp,O,O
19,CVE-2002-0591,1,arbitrary,ADJ,JJ,amod,O,O
20,CVE-2002-0591,1,files,NOUN,NNS,dobj,O,O
21,CVE-2002-0591,1,and,CCONJ,CC,cc,O,O
22,CVE-2002-0591,1,execute,VERB,VB,conj,O,O
23,CVE-2002-0591,1,commands,NOUN,NNS,dobj,O,O
24,CVE-2002-0591,1,via,ADP,IN,prep,O,O
25,CVE-2002-0591,1,a,DET,DT,det,O,O
26,CVE-2002-0591,1,Direct,PROPN,NNP,compound,O,O
27,CVE-2002-0591,1,Connection,NOUN,NN,pobj,O,O
28,CVE-2002-0591,1,with,ADP,IN,prep,O,O
29,CVE-2002-0591,1,an,DET,DT,det,O,O
30,CVE-2002-0591,1,IMG,NOUN,NN,compound,O,O
31,CVE-2002-0591,1,tag,NOUN,NN,pobj,O,O
32,CVE-2002-0591,1,with,ADP,IN,prep,O,O
33,CVE-2002-0591,1,a,DET,DT,det,O,O
34,CVE-2002-0591,1,SRC,NOUN,NN,compound,O,O
35,CVE-2002-0591,1,attribute,NOUN,NN,pobj,O,O
36,CVE-2002-0591,1,that,DET,WDT,nsubj,O,O
37,CVE-2002-0591,1,specifies,VERB,VBZ,relcl,O,O
38,CVE-2002-0591,1,the,DET,DT,det,O,O
39,CVE-2002-0591,1,target,NOUN,NN,compound,O,O
40,CVE-2002-0591,1,filename,NOUN,NN,dobj,O,O
41,CVE-2002-0591,1,.,PUNCT,.,punct,O,O
42,CVE-2002-0673,0,The,DET,DT,det,O,O
43,CVE-2002-0673,0,enrollment,NOUN,NN,compound,O,O
44,CVE-2002-0673,0,process,NOUN,NN,nsubj,O,O
45,CVE-2002-0673,0,for,ADP,IN,prep,O,O
46,CVE-2002-0673,0,Pingtel,PROPN,NNP,compound,O,O
47,CVE-2002-0673,0,xpressa,NOUN,NN,nmod,pn,pn
48,CVE-2002-0673,0,SIP,VERB,VB,npadvmod,O,O
49,CVE-2002-0673,0,-,PUNCT,HYPH,punct,O,O
50,CVE-2002-0673,0,based,VERB,VBN,amod,O,O
51,CVE-2002-0673,0,voice,NOUN,NN,nmod,O,O
52,CVE-2002-0673,0,-,PUNCT,HYPH,punct,O,O
53,CVE-2002-0673,0,over,ADP,IN,prep,O,O
54,CVE-2002-0673,0,-,PUNCT,HYPH,punct,O,O
55,CVE-2002-0673,0,IP,NOUN,NN,pobj,O,O
56,CVE-2002-0673,0,phone,NOUN,NN,pobj,O,O
57,CVE-2002-0673,0,1.2.5,NUM,CD,appos,vrs,vrs
58,CVE-2002-0673,0,through,ADP,IN,prep,<=,<=
59,CVE-2002-0673,0,1.2.7.4,NUM,CD,pobj,vre,vre
60,CVE-2002-0673,0,allows,VERB,VBZ,ROOT,verb,verb
61,CVE-2002-0673,0,attackers,NOUN,NNS,nsubj,O,O
62,CVE-2002-0673,0,with,ADP,IN,prep,O,O
63,CVE-2002-0673,0,physical,ADJ,JJ,amod,O,O
64,CVE-2002-0673,0,access,NOUN,NN,pobj,O,O
65,CVE-2002-0673,0,to,ADP,IN,prep,O,O
66,CVE-2002-0673,0,the,DET,DT,det,O,O
67,CVE-2002-0673,0,phone,NOUN,NN,pobj,O,O
68,CVE-2002-0673,0,to,PART,TO,aux,O,O
69,CVE-2002-0673,0,log,VERB,VB,ccomp,O,O
70,CVE-2002-0673,0,out,PART,RP,prt,O,O
71,CVE-2002-0673,0,the,DET,DT,det,O,O
72,CVE-2002-0673,0,current,ADJ,JJ,amod,O,O
73,CVE-2002-0673,0,user,NOUN,NN,dobj,O,O
74,CVE-2002-0673,0,and,CCONJ,CC,cc,O,O
75,CVE-2002-0673,0,re,NOUN,NN,subtok,O,O
76,CVE-2002-0673,0,-,VERB,VB,subtok,O,O
77,CVE-2002-0673,0,register,VERB,VB,conj,O,O
78,CVE-2002-0673,0,the,DET,DT,det,O,O
79,CVE-2002-0673,0,phone,NOUN,NN,dobj,O,O
80,CVE-2002-0673,0,using,VERB,VBG,advcl,O,O
81,CVE-2002-0673,1,MyPingtel,PROPN,NNP,compound,O,O
82,CVE-2002-0673,1,Sign,PROPN,NNP,compound,O,O
83,CVE-2002-0673,1,-,PUNCT,:,punct,O,O
84,CVE-2002-0673,1,In,NOUN,NN,ROOT,O,O
85,CVE-2002-0673,1,to,PART,TO,aux,O,O
86,CVE-2002-0673,1,gain,VERB,VB,advcl,O,O
87,CVE-2002-0673,1,remote,ADJ,JJ,amod,O,O
88,CVE-2002-0673,1,access,NOUN,NN,dobj,O,O
89,CVE-2002-0673,1,and,CCONJ,CC,cc,O,O
90,CVE-2002-0673,1,perform,VERB,VB,conj,O,O
91,CVE-2002-0673,1,unauthorized,ADJ,JJ,amod,O,O
92,CVE-2002-0673,1,actions,NOUN,NNS,dobj,O,O
93,CVE-2002-0673,1,.,PUNCT,.,punct,O,O
94,CVE-2002-1912,0,SkyStream,PROPN,NNP,ROOT,O,O
95,CVE-2002-1912,1,EMR5000,PROPN,NNP,punct,pn,pn
96,CVE-2002-1912,1,1.16,NUM,CD,nsubj,vrs,vrs
97,CVE-2002-1912,1,through,ADP,IN,prep,<=,<=
98,CVE-2002-1912,1,1.18,NUM,CD,pobj,vre,vre
99,CVE-2002-1912,1,does,VERB,VBZ,aux,verb,verb
100,CVE-2002-1912,1,not,ADV,RB,neg,O,O
101,CVE-2002-1912,1,drop,VERB,VB,ROOT,O,O
102,CVE-2002-1912,1,packets,NOUN,NNS,dobj,O,O
103,CVE-2002-1912,1,or,CCONJ,CC,cc,O,O
104,CVE-2002-1912,1,disable,VERB,VB,conj,O,O
105,CVE-2002-1912,1,the,DET,DT,det,O,O
106,CVE-2002-1912,1,Ethernet,PROPN,NNP,compound,O,O
107,CVE-2002-1912,1,interface,NOUN,NN,dobj,O,O
108,CVE-2002-1912,1,when,ADV,WRB,advmod,O,O
109,CVE-2002-1912,1,the,DET,DT,det,O,O
110,CVE-2002-1912,1,buffers,NOUN,NNS,nsubj,O,O
111,CVE-2002-1912,1,are,VERB,VBP,advcl,O,O
112,CVE-2002-1912,1,full,ADJ,JJ,acomp,O,O
113,CVE-2002-1912,1,",",PUNCT,",",punct,O,O
114,CVE-2002-1912,1,which,DET,WDT,nsubj,O,O
115,CVE-2002-1912,1,allows,VERB,VBZ,relcl,O,O
116,CVE-2002-1912,1,remote,ADJ,JJ,amod,O,O
117,CVE-2002-1912,1,attackers,NOUN,NNS,nsubj,O,O
118,CVE-2002-1912,1,to,PART,TO,aux,O,O
119,CVE-2002-1912,1,cause,VERB,VB,ccomp,O,O
120,CVE-2002-1912,1,a,DET,DT,det,O,O
121,CVE-2002-1912,1,denial,NOUN,NN,dobj,O,O
122,CVE-2002-1912,1,of,ADP,IN,prep,O,O
123,CVE-2002-1912,1,service,NOUN,NN,pobj,O,O
124,CVE-2002-1912,1,(,PUNCT,-LRB-,punct,O,O
125,CVE-2002-1912,1,,ADJ,JJ,amod,O,O
126,CVE-2002-1912,1,pointer,NOUN,NN,compound,O,O
127,CVE-2002-1912,1,exception,NOUN,NN,appos,O,O
128,CVE-2002-1912,1,and,CCONJ,CC,cc,O,O
129,CVE-2002-1912,1,kernel,NOUN,NN,compound,O,O
130,CVE-2002-1912,1,panic,NOUN,NN,conj,O,O
131,CVE-2002-1912,1,),PUNCT,-RRB-,punct,O,O
132,CVE-2002-1912,1,via,ADP,IN,prep,O,O
133,CVE-2002-1912,1,a,DET,DT,det,O,O
134,CVE-2002-1912,1,large,ADJ,JJ,amod,O,O
135,CVE-2002-1912,1,number,NOUN,NN,pobj,O,O
136,CVE-2002-1912,1,of,ADP,IN,prep,O,O
137,CVE-2002-1912,1,packets,NOUN,NNS,pobj,O,O
138,CVE-2002-1912,1,.,PUNCT,.,punct,O,O
139,CVE-2002-2161,0,Kerio,PROPN,NNP,compound,O,O
140,CVE-2002-2161,0,Personal,ADJ,JJ,compound,pn,pn
